event,traceID,taskID,timestamp
mousemove on airtime,9,1,0
mousemove on distance,9,1,1
mousemove on departure,9,1,2
mousemove on departure,9,1,3
brush on departure,9,1,4
mousemove on arrival,9,2,5
brush on airtime,9,2,6
brush on airtime,9,3,7
click on airtime,9,3,8
mousemove on airtime,9,3,9
mousemove on airtime,9,3,10
mousemove on airtime,9,3,11
brush on airtime,9,3,12
mousemove on airtime,9,3,13
click on airtime,9,3,14
mousemove on airtime,9,3,15
click on airtime,9,3,16
mousemove on airtime,9,3,17
click on airtime,9,3,18
mousemove on airtime,9,3,19
click on airtime,9,3,20
click on airtime,9,3,21
mousemove on airtime,9,3,22
click on airtime,9,3,23
mousemove on airtime,9,3,24
click on airtime,9,3,25
dblclick on airtime,9,3,26
mousemove on delay,9,3,27
mousemove on delay,9,3,28
mousemove on delay,9,3,29
mousemove on delay,9,3,30
brush on delay,9,3,31
brush on delay,9,3,32
mousemove on delay,9,3,33
brush on delay,9,3,34
brush on departure,9,3,35
brush on departure,9,3,36
mousemove on delay,9,3,37
brush on delay,9,3,38
click on delay,9,3,39
mousemove on delay,9,3,40
brush on delay,9,3,41
brush on distance,9,4,42
brush on distance,9,4,43
click on distance,9,4,44
mousemove on distance,9,4,45
brush on distance,9,4,46
brush on distance,9,4,47
brush on distance,9,4,48
brush on distance,9,4,49
brush on distance,9,4,50
brush on distance,9,4,51
brush on distance,9,4,52
brush on distance,9,4,53
brush on distance,9,4,54
brush on distance,9,4,55
brush on distance,9,4,56
brush on distance,9,4,57
mousemove on distance,9,4,58
click on distance,9,4,59
mousemove on delay,9,4,60
brush on delay,9,4,61
click on delay,9,4,62
